id,nombre,contenido,seccion,contenido_upper,favorito,marca,camino
2,ARTICULO 5,"El Esquema Vial es la representación de las vías del país, muestra la forma que alcanza la red vial nacional a corto, mediano y largo plazo, considera las líneas de desarrollo previstas en los estudios de ordenamiento territorial y sirve de base para los planes de inversiones viales. Su elaboración y actualización corresponden al Ministerio del Transporte.",5,"EL ESQUEMA VIAL ES LA REPRESENTACION DE LAS VIAS DEL PAIS, MUESTRA LA FORMA QUE ALCANZA LA RED VIAL NACIONAL A CORTO, MEDIANO Y LARGO PLAZO, CONSIDERA LAS LINEAS DE DESARROLLO PREVISTAS EN LOS ESTUDIOS DE ORDENAMIENTO TERRITORIAL Y SIRVE DE BASE PARA LOS PLANES DE INVERSIONES VIALES. SU ELABORACION Y ACTUALIZACION CORRESPONDEN AL MINISTERIO DEL TRANSPORTE.",0,0,-3-4-5-
3,ARTICULO 6,"El Ministerio del Transporte norma y controla la ejecución del inventario vial, determina la clasificación de las vías en atención a su función, según los documentos técnicos normativos, y mantiene actualizada la red vial de interés nacional.",5,"EL MINISTERIO DEL TRANSPORTE NORMA Y CONTROLA LA EJECUCION DEL INVENTARIO VIAL, DETERMINA LA CLASIFICACION DE LAS VIAS EN ATENCION A SU FUNCION, SEGUN LOS DOCUMENTOS TECNICOS NORMATIVOS, Y MANTIENE ACTUALIZADA LA RED VIAL DE INTERES NACIONAL.",0,0,-3-4-5-
4,ARTICULO 7,La ejecución del inventario vial está a cargo de la autoridad administrativa de la vía.,5,LA EJECUCION DEL INVENTARIO VIAL ESTA A CARGO DE LA AUTORIDAD ADMINISTRATIVA DE LA VIA.,,0,-3-4-5-
1,ARTICULO 1,"La presente Ley se denomina Código de Seguridad Vial y tiene como objetivo regular integralmente la actividad vial y del tránsito, establecer sus principios básicos y definir en relación con esta materia las funciones de los ministerios del Transporte y del Interior como sus organismos rectores, las responsabilidades de los organismos e instituciones en ella referidos, y la estructura y funciones de las comisiones de seguridad vial que al efecto se constituyen para realizar estudios, coordinar los esfuerzos de las entidades que en ella intervienen y promover iniciativas.",2,"LA PRESENTE LEY SE DENOMINA CODIGO DE SEGURIDAD VIAL Y TIENE COMO OBJETIVO REGULAR INTEGRALMENTE LA ACTIVIDAD VIAL Y DEL TRANSITO, ESTABLECER SUS PRINCIPIOS BASICOS Y DEFINIR EN RELACION CON ESTA MATERIA LAS FUNCIONES DE LOS MINISTERIOS DEL TRANSPORTE Y DEL INTERIOR COMO SUS ORGANISMOS RECTORES, LAS RESPONSABILIDADES DE LOS ORGANISMOS E INSTITUCIONES EN ELLA REFERIDOS, Y LA ESTRUCTURA Y FUNCIONES DE LAS COMISIONES DE SEGURIDAD VIAL QUE AL EFECTO SE CONSTITUYEN PARA REALIZAR ESTUDIOS, COORDINAR LOS ESFUERZOS DE LAS ENTIDADES QUE EN ELLA INTERVIENEN Y PROMOVER INICIATIVAS.",,0,-1-2-
5,ARTICULO 2,"La Seguridad Vial es un sistema integral que comprende el conjunto de actividades, funciones e instituciones jurídicas, íntimamente vinculadas entre sí, que tiene como finalidad el máximo aprovechamiento y duración de las inversiones, y el desplazamiento fluido, seguro y eficiente de vehículos y peatones en las vías.",2,"LA SEGURIDAD VIAL ES UN SISTEMA INTEGRAL QUE COMPRENDE EL CONJUNTO DE ACTIVIDADES, FUNCIONES E INSTITUCIONES JURIDICAS, INTIMAMENTE VINCULADAS ENTRE SI, QUE TIENE COMO FINALIDAD EL MAXIMO APROVECHAMIENTO Y DURACION DE LAS INVERSIONES, Y EL DESPLAZAMIENTO FLUIDO, SEGURO Y EFICIENTE DE VEHICULOS Y PEATONES EN LAS VIAS.",,0,-1-2-
6,ARTICULO 3,"Lo relativo a las vías férreas se rige por leyes especiales, excepto los casos que específicamente se señalan en este Código.",2,"LO RELATIVO A LAS VIAS FERREAS SE RIGE POR LEYES ESPECIALES, EXCEPTO LOS CASOS QUE ESPECIFICAMENTE SE SENALAN EN ESTE CODIGO.",,0,-1-2-
7,ARTICULO 4,"A los efectos de la mejor interpretación, comprensión, cumplimiento y aplicación de los preceptos de este Código, se establece un glosario de términos y definiciones que se anexa como parte integrante de esta Ley.
",2,"A LOS EFECTOS DE LA MEJOR INTERPRETACION, COMPRENSION, CUMPLIMIENTO Y APLICACION DE LOS PRECEPTOS DE ESTE CODIGO, SE ESTABLECE UN GLOSARIO DE TERMINOS Y DEFINICIONES QUE SE ANEXA COMO PARTE INTEGRANTE DE ESTA LEY.
",,0,-1-2-
8,ARTICULO 8,"Las vías atendiendo a su ubicación se clasifican en:<br>
1)  urbanas, cuando están dentro de zonas urbanas; y<br>
2)  rurales, cuando están fuera de los perímetros urbanos.",7,"LAS VIAS ATENDIENDO A SU UBICACION SE CLASIFICAN EN:<BR>
1)  URBANAS, CUANDO ESTAN DENTRO DE ZONAS URBANAS; Y<BR>
2)  RURALES, CUANDO ESTAN FUERA DE LOS PERIMETROS URBANOS.",,0,-3-6-7-
9,ARTICULO 9,"Las vías atendiendo al interés socioeconómico se clasifican en:<br>
1)  nacionales, aquellas que tienen un interés nacional, con independencia de su ubicación geográfica;<br>
2)  provinciales, las que tienen un interés para la provincia
en que estén enmarcadas, salvo que hayan sido clasificadas como nacionales;<br>
3)  municipales, las que tienen un interés para el municipio
en que estén enmarcadas, y no estén clasificadas como nacionales o provinciales; y<br>
4)  de interés específico, aquellas requeridas por órganos y
organismos del Estado y Gobierno, empresas y otras entidades para el desarrollo de su labor.",7,"LAS VIAS ATENDIENDO AL INTERES SOCIOECONOMICO SE CLASIFICAN EN:<BR>
1)  NACIONALES, AQUELLAS QUE TIENEN UN INTERES NACIONAL, CON INDEPENDENCIA DE SU UBICACION GEOGRAFICA;<BR>
2)  PROVINCIALES, LAS QUE TIENEN UN INTERES PARA LA PROVINCIA
EN QUE ESTEN ENMARCADAS, SALVO QUE HAYAN SIDO CLASIFICADAS COMO NACIONALES;<BR>
3)  MUNICIPALES, LAS QUE TIENEN UN INTERES PARA EL MUNICIPIO
EN QUE ESTEN ENMARCADAS, Y NO ESTEN CLASIFICADAS COMO NACIONALES O PROVINCIALES; Y<BR>
4)  DE INTERES ESPECIFICO, AQUELLAS REQUERIDAS POR ORGANOS Y
ORGANISMOS DEL ESTADO Y GOBIERNO, EMPRESAS Y OTRAS ENTIDADES PARA EL DESARROLLO DE SU LABOR.",,0,-3-6-7-
10,ARTICULO 10,"Corresponde al Ministerio del Transporte determinar las vías de interés nacional.
Los consejos de la administración provinciales del Poder
Popular y del municipio especial Isla de la Juventud determinan en su territorio las vías de interés provincial, municipal o específico, según corresponda.
Las vías no clasificadas como de interés nacional y que
enlacen dos o más provincias, se clasifican por el Ministerio del Transporte, en coordinación con los respectivos consejos
de la administración provinciales del Poder Popular.
",7,"CORRESPONDE AL MINISTERIO DEL TRANSPORTE DETERMINAR LAS VIAS DE INTERES NACIONAL.
LOS CONSEJOS DE LA ADMINISTRACION PROVINCIALES DEL PODER
POPULAR Y DEL MUNICIPIO ESPECIAL ISLA DE LA JUVENTUD DETERMINAN EN SU TERRITORIO LAS VIAS DE INTERES PROVINCIAL, MUNICIPAL O ESPECIFICO, SEGUN CORRESPONDA.
LAS VIAS NO CLASIFICADAS COMO DE INTERES NACIONAL Y QUE
ENLACEN DOS O MAS PROVINCIAS, SE CLASIFICAN POR EL MINISTERIO DEL TRANSPORTE, EN COORDINACION CON LOS RESPECTIVOS CONSEJOS
DE LA ADMINISTRACION PROVINCIALES DEL PODER POPULAR.
",,0,-3-6-7-
11,ARTICULO 11,"La autoridad administrativa es el órgano, organismo o entidad que atiende las vías, de acuerdo con la clasificación basada en su interés socioeconómico, por lo que corresponde:<br>
1)  al Ministerio del Transporte, las vías nacionales;
<br>
2)  al Consejo de la Administración Provincial del Poder
Popular, las vías provinciales;
<br>
3)  al Consejo de la Administración Municipal del Poder
Popular, las vías municipales; y
<br>
4)  a la entidad determinada, las vías de interés específico.
",7,"LA AUTORIDAD ADMINISTRATIVA ES EL ORGANO, ORGANISMO O ENTIDAD QUE ATIENDE LAS VIAS, DE ACUERDO CON LA CLASIFICACION BASADA EN SU INTERES SOCIOECONOMICO, POR LO QUE CORRESPONDE:<BR>
1)  AL MINISTERIO DEL TRANSPORTE, LAS VIAS NACIONALES;
<BR>
2)  AL CONSEJO DE LA ADMINISTRACION PROVINCIAL DEL PODER
POPULAR, LAS VIAS PROVINCIALES;
<BR>
3)  AL CONSEJO DE LA ADMINISTRACION MUNICIPAL DEL PODER
POPULAR, LAS VIAS MUNICIPALES; Y
<BR>
4)  A LA ENTIDAD DETERMINADA, LAS VIAS DE INTERES ESPECIFICO.
",,0,-3-6-7-
