id,texto,correcto,id_pregunta
600,"Circular por la izquierda, en una vía urbana o rural de doble sentido de dirección.",0,201
601,"Transitar de acuerdo con el sentido de circulación señalizado en la vía de un solo sentido de dirección.
",-1,201
602,"Circular por el carril del centro, en una vía de tres o más sendas destinadas a la circulación en un mismo sentido, cuando se circula a marcha lenta.",0,201
603,En toda clase de vías.,-1,202
604,"Sólo en vías urbanas.
",0,202
605,"En cualquier vía, salvo en las calles residenciales.",0,202
606,"En posición inclinada hacia abajo, con la palma de la mano hacia atrás.",0,203
607,"Extendido en posición horizontal, con la palma de la mano hacia adelante.",-1,203
608,"En posición vertical hacia arriba.
",0,203
609,"La distancia a recorrer no exceda 20 metros, debiendo observar la vía detrás del vehículo mientras dure la maniobra.",-1,204
610,La velocidad sea de 30 kilómetros por hora.,0,204
611,Obstrucciona la circulación levemente.,0,204
612,Vehículo de transporte público de pasajeros.,-1,205
613,Camiones.,0,205
614,Rastras.,0,205
615,"Sí, siempre, ya que está permitido totalmente.",0,206
616,"No, nunca.",0,206
617,"Sí, a veces, en casos de fuerza mayor y haciendo la señal adecuada.",-1,206
618,Nunca.,0,207
619,"A veces, en casos de fuerza mayor y por el tiempo mínimo indispensable.",-1,207
620,Siempre.,0,207
621,Al transitar por una vía preferencial.,0,208
622,Cuando un peatón se encuentre en la calzada.,-1,208
623,Frente a las unidades de la Policía Nacional Revolucionaria.,0,208
624,"Al llegar al lugar de destino, los responsables de la caravana detendrán el tránsito, si fuera necesario, cuando las personas transportadas requieran atravesar a pie una vía.",-1,209
625,"No podrá adelantar a otro vehículo en la vía, salvo que este circule a una velocidad inferior a 50 kilómetros por hora en zona urbana y 80 kilómetros por hora en zona rural.",0,209
626,La distancia entre vehículos será de 10 metros.,0,209
627,No menos de 50 centímetros.,-1,210
628,40 centímetros.,0,210
629,45 centímetros.,0,210
630,Su tiempo acaba de comenzar.,0,211
631,Su tiempo está por concluir.,-1,211
632,Ambas cosas.,0,211
633,"Indica la proximidad de dos o más curvas, la primera a la izquierda.",0,212
634,"Indica la proximidad de un desvío en la circulación.
",-1,212
635,Indica la existencia de un terraplén.,0,212
636,"Sí, ya que la vía lo permite.",0,213
637,"No, ya que las líneas continuas lo prohíben.",-1,213
638,"Sí, ya que no se aproxima ningún vehículo en sentido opuesto.",0,213
639,A veces.,0,214
640,No.,0,214
641,Sí.,-1,214
642,"Sí, las luces largas o de carretera.",0,215
643,"Sí, las de cruce o cortas.",-1,215
644,No.,0,215
645,"No, nunca.",-1,216
646,"Sí, en cualquier caso.",0,216
647,"A veces, cuando está de prueba por el taller.",0,216
648,"Categoría ""C-1"".",-1,217
649,"Categoría ""C"".",0,217
650,"Categoría ""D"".",0,217
651,"Es detectado conduciendo un vehículo de motor, bajo los efectos del alcohol.",-1,218
652,"A los conductores noveles que hayan cometido más de dos infracciones ""Muy Peligrosas"".",0,218
653,A los conductores noveles que dentro de un año natural acumulen más de dos tercios (2/3) de la puntuación que al efecto se determine por el Ministerio del Interior en las disposiciones complementarias a la presente Ley.,0,218
654,Cancelación de la licencia de conducción.,0,219
655,Sanción de privación de libertad.,-1,219
656,Multa de 1500.00 pesos y resarcir los daños causados.,0,219
657,2 infracciones.,0,220
658,1 Infracción.,-1,220
659,3 infracciones.,0,220
660,"Reanudar la marcha.
",0,221
661,Disminuir la velocidad.,0,221
662,Detenerse de inmediato.,-1,221
663,Dar cuenta de inmediato a la Policía Nacional Revolucionaria en todos los casos y ante cualquier circunstancia.,0,222
664,Dar cuenta de inmediato a la Policía Nacional Revolucionaria solo en los casos en que resulten personas muertas o lesionadas.,0,222
665,"Dar cuenta de inmediato a la Policía Nacional Revolucionaria en los casos en que resulten personas muertas o lesionadas, y en todos los casos en que participe un vehículo estatal, se afecte la propiedad estatal, o se afecte cualquier bien mueble o inmueble cuando no está presente el perjudicado.",-1,222
666,Disminuir velocidad.,0,223
667,Accionar el claxon o aparato similar.,0,223
668,Detener el vehículo y ceder el paso.,-1,223
669,No obligue a otro vehículo que se aproxime a realizar un cambio brusco en su dirección o velocidad.,-1,224
670,La velocidad es de 30 kilómetros por hora.,0,224
671,Siempre.,-1,225
672,A veces.,0,225
673,Nunca.,0,225
674,"Sí, siempre, ya que está permitido totalmente.",0,226
675,"No, nunca, ya que está prohibido.",0,226
676,"Sí, a veces, con el permiso del Ministerio del Interior situando previamente las señales adecuadas.",-1,226
677,Omnibus articulados.,0,227
678,Vehículos cuyo peso máximo autorizado no exceda de los 6000 kilogramos.,0,227
679,Vehículos que en su circulación no son capaces de alcanzar y mantener una velocidad de 60 kilómetros por hora.,-1,227
680,50 kilómetros por hora para todos los vehículos.,-1,228
681,60 kilómetros por hora para los automóviles de hasta 3 500 kilogramos y los ómnibus.,0,228
682,40 kilómetros por hora para los automóviles dedicados al transporte de carga.,0,228
683,"No provoque ruidos innecesarios, polvo u otras incomodidades.",-1,229
684,No reciba mucho sol.,0,229
685,Se mantenga seca.,0,229
686,Paralelo a la dirección de la circulación y junto a la acera o borde derecho de la calzada.,-1,230
687,Paralelo a la dirección de la circulación y junto a la acera y borde de la izquierda.,0,230
688,De forma transversal a la vía.,0,230
689,Prohíbe el paso.,0,231
690,Prohíbe temporalmente el paso antes de un paso a nivel.,0,231
691,Obliga a los conductores a continuar con precaución hasta rebasar la zona regulada.,-1,231
692,10 metros antes de donde está.,0,232
693,Desde que se observa.,0,232
694,Desde el lugar donde está ubicada.,-1,232
695,El color de la pintura de la marca.,0,233
696,El diseño de su trazado en el pavimento.,-1,233
697,El lugar donde está ubicada.,0,233
698,A veces.,0,234
699,No.,0,234
700,Sí.,-1,234
701,"Manteniéndolo inclinado hacia abajo, con la palma de la mano hacia atrás.",0,235
702,En posición vertical hacia arriba.,-1,235
703,"Extendido en posición horizontal, con la palma de la mano hacia abajo.",0,235
704,"No, nunca.",-1,236
705,"Sí, en cualquier caso.",0,236
706,"A veces, cuando está de prueba por el taller.",0,236
