id,nombre,descripcion,grupo,geomt,color,categoria,imagen,descripcion_upper,nombre_upper,num_articulo
2,Circulación giratoria,"Indica la proximidad a un lugar donde está establecido un sentido giratorio para la circulación.
",1,1,1,1,circulacion_giratoria.png,"INDICA LA PROXIMIDAD A UN LUGAR DONDE ESTA ESTABLECIDO UN SENTIDO GIRATORIO PARA LA CIRCULACION.
",CIRCULACION GIRATORIA,160
3,Peligros diversos,"Indica la proximidad a un peligro que no tiene otra señal específica; esta señal debe estar complementada con una placa que muestre concretamente la clase de peligro de que se trata.
",1,1,1,1,peligros_diversos.png,"INDICA LA PROXIMIDAD A UN PELIGRO QUE NO TIENE OTRA SENAL ESPECIFICA; ESTA SENAL DEBE ESTAR COMPLEMENTADA CON UNA PLACA QUE MUESTRE CONCRETAMENTE LA CLASE DE PELIGRO DE QUE SE TRATA.
",PELIGROS DIVERSOS,160
4,Cruce de animal que vive en libertad,"Indica la proximidad a una zona por la que cruzan frecuentemente animales que viven en libertad.
",1,1,1,1,cruce_de_animal_que_vive_en_libertad.png,"INDICA LA PROXIMIDAD A UNA ZONA POR LA QUE CRUZAN FRECUENTEMENTE ANIMALES QUE VIVEN EN LIBERTAD.
",CRUCE DE ANIMAL QUE VIVE EN LIBERTAD,160
5,Cruce de animales domésticos,"Indica la proximidad a una zona por la que cruzan frecuentemente animales domésticos o grupos de animales.
",1,1,1,1,cruce_de_animal_domestico.png,"INDICA LA PROXIMIDAD A UNA ZONA POR LA QUE CRUZAN FRECUENTEMENTE ANIMALES DOMESTICOS O GRUPOS DE ANIMALES.
",CRUCE DE ANIMALES DOMESTICOS,160
6,Estrechamiento de la vía por ambos lados,"Indica  la proximidad a un estrechamiento de la calzada por ambos lados.
",1,1,1,1,estrechamiento_de_via_por_ambos_lados.png,"INDICA  LA PROXIMIDAD A UN ESTRECHAMIENTO DE LA CALZADA POR AMBOS LADOS.
",ESTRECHAMIENTO DE LA VIA POR AMBOS LADOS,160
7,Paso para peatones,"Indica la existencia de un paso frecuente de peatones por una zona delimitada con marcas viales o por señales.<br>
a) mediante franjas tipo cebra; indica la prioridad del peatón en el cruce.<br>
b) mediante dos líneas paralelas; delimita la zona de cruce, sin conceder la prioridad para el peatón.
",1,1,1,1,paso_de_peatones.png,"INDICA LA EXISTENCIA DE UN PASO FRECUENTE DE PEATONES POR UNA ZONA DELIMITADA CON MARCAS VIALES O POR SENALES.<BR>
A) MEDIANTE FRANJAS TIPO CEBRA; INDICA LA PRIORIDAD DEL PEATON EN EL CRUCE.<BR>
B) MEDIANTE DOS LINEAS PARALELAS; DELIMITA LA ZONA DE CRUCE, SIN CONCEDER LA PRIORIDAD PARA EL PEATON.
",PASO PARA PEATONES,160
8,Doble sentido de circulación,"Indica que la circulación comienza en doble sentido de manera permanente o provisional.
",1,1,1,1,doble_sentido_de_circulacion.png,"INDICA QUE LA CIRCULACION COMIENZA EN DOBLE SENTIDO DE MANERA PERMANENTE O PROVISIONAL.
",DOBLE SENTIDO DE CIRCULACION,160
9,Perfil irregular o badén,"Indica la presencia de un perfil irregular, ya sea por mal estado de la calzada, por un puente combado, cambio brusco de rasante o por un badén.
",1,1,1,1,perfil_irregular_o_baden.png,"INDICA LA PRESENCIA DE UN PERFIL IRREGULAR, YA SEA POR MAL ESTADO DE LA CALZADA, POR UN PUENTE COMBADO, CAMBIO BRUSCO DE RASANTE O POR UN BADEN.
",PERFIL IRREGULAR O BADEN,160
10,Desprendimiento de rocas,Indica la proximidad a una zona peligrosa debido al desprendimiento de rocas y a la consiguiente presencia de rocas en la vía.,1,1,1,1,desprendimiento_de_rocas.png,INDICA LA PROXIMIDAD A UNA ZONA PELIGROSA DEBIDO AL DESPRENDIMIENTO DE ROCAS Y A LA CONSIGUIENTE PRESENCIA DE ROCAS EN LA VIA.,DESPRENDIMIENTO DE ROCAS,160
11,Cruce regulado por semáforo,"Indica las proximidades a una intersección regulada por semáforos.
",1,1,1,1,cruce_regulado_por_semaforo.png,"INDICA LAS PROXIMIDADES A UNA INTERSECCION REGULADA POR SEMAFOROS.
",CRUCE REGULADO POR SEMAFORO,160
