id,nombre,tipo,superior,titulo
3,LIBRO II,1,,DE LA VIALIDAD
4,TITULO I,2,3,DE LA PLANIFICACION VIAL
5,CAPITULO I,3,4,DEL ESQUEMA VIAL Y LA RED VIAL NACIONAL
1,LIBRO I,1,,PARTE GENERAL
2,CAPITULO I,3,1,DE SU DENOMINACION Y OBJETO
6,TITULO II,2,3,DE LA CONSTRUCCION Y PROTECCION DE LAS VIAS
7,CAPITULO I,3,6,DE LAS VIAS
8,CAPITULO II,3,6,"DEL PROYECTO, CONSTRUCCION Y RECONSTRUCCION VIAL"
9,CAPITULO III,3,6,DE LA CONSERVACION VIAL
10,CAPITULO IV,3,6,DE LAS AFECTACIONES DE LAS VIAS
11,CAPITULO V,3,6,DE LA PROTECCION Y LA DEFENSA DE LAS VIAS
12,TITULO III,2,3,DE LA INGENIERIA DEL TRANSITO
13,CAPITULO I,3,12,DE SU CONTENIDO
14,CAPITULO II,3,12,DE LOS ESTUDIOS SISTEMATICOS Y DEL DISEÑO
15,CAPITULO III,3,12,DE LA SEÑALIZACION
16,LIBRO III,1,,DEL USO DE LAS VIAS
17,TITULO I,2,16,DE LA ORGANIZACION DEL TRANSITO
18,CAPITULO I,3,17,DE LA CIRCULACION GENERAL
19,CAPITULO II,3,17,DE LOS LIMITES DE VELOCIDAD
20,CAPITULO III,3,17,DE LOS VEHICULOS DE CARGA Y SU UTILIZACION PARA LA TRANSPORTACION MASIVA DE PERSONAS
21,CAPITULO IV,3,17,DEL ESTACIONAMIENTO
22,CAPITULO V,3,17,DE LOS PEATONES Y PASAJEROS
23,CAPITULO VI,3,17,DE LAS SEÑALES VIALES
24,TITULO II,2,16,DEL ESTADO TECNICO DE LOS VEHICULOS
25,CAPITULO I,3,24,DE LAS EXIGENCIAS TECNICAS
26,CAPITULO II,3,24,DEL SISTEMA DE LUCES
27,CAPITULO III,3,24,DE LOS ACCESORIOS Y OTROS ADITAMENTOS
28,LIBRO IV,1,,DEL CONTROL TECNICO Y REGISTRO DE VEHICULOS
29,TITULO I,2,28,DEL CONTROL TECNICO DE LOS VEHICULOS
30,CAPITULO I,3,29,DE SU OBJETO
31,CAPITULO  II,3,29,DE LA INSPECCION Y REVISION TECNICA
32,CAPITULO III,3,29,DEL REGISTRO DE VEHICULOS
33,LIBRO V,1,,DE LA EDUCACION VIAL Y LA LICENCIA DE CONDUCCION
34,TITULO I,2,33,DE LA EDUCACION VIAL
35,CAPITULO I,3,34,DE LA EDUCACION VIAL
36,CAPITULO II,3,34,DE LAS ESCUELAS DE EDUCACION VIAL Y CONDUCCION
37,CAPITULO III,3,34,DE LA LICENCIA DE CONDUCCION
38,CAPITULO IV,3,34,DE LAS AUTORIZACIONES ESPECIALES PARA LOS CONDUCTORES DE TRACCION ANIMAL Y HUMANA
39,LIBRO VI,1,,DE LA RESPONSABILIDAD ADMINISTRATIVA POR INFRACCIONES DE LAS REGULACIONES DEL TRANSITO DE VEHICULOS NO CONSTITUTIVAS DE DELITO
40,TITULO I,2,39,DE LA RESPONSABILIDAD ADMINISTRATIVA
41,CAPITULO I,3,40,DE LAS MULTAS
42,LIBRO VII,1,,DE LAS COMISIONES DE SEGURIDAD VIAL
43,TITULO I,2,42,DE LA COMISION NACIONAL
44,CAPITULO I,3,43,DE SU INTEGRACION Y FUNCIONES
45,TITULO II,2,42,DE LAS COMISIONES PROVINCIALES Y MUNICIPALES
46,CAPITULO I,3,45,DE LAS COMISIONES PROVINCIALES
47,CAPITULO II,3,45,DE LAS COMISIONES MUNICIPALES
48,DISPOSICIONES ESPECIALES,1,,
49,DISPOSICIONES TRANSITORIAS,1,,
50,DISPOSICIONES FINALES,1,,
51,REGULACIONES COMPLEMENTARIAS,1,,
52,"CAPITULO I
",3,51,DE SU OBJETO
53,"CAPITULO II
",3,51,DE LAS INFRACCIONES DE LAS REGULACIONES DEL TRANSITO PREVISTAS EN EL CODIGO DE SEGURIDAD VIAL NO CONSTITUTIVAS DE DELITO
54,"CAPITULO III
",3,51,DE LA NOTIFICACION PREVENTIVA
55,"CAPITULO IV
",3,51,"DEL PAGO DE LOS GASTOS POR TRASLADO, DEPOSITO Y CUSTODIA DE VEHICULOS"
56,CAPITULO V,3,51,"DEL DECOMISO DE BIENES, RECURSOS Y PROCEDIMIENTOS PARA SU IMPUGNACIÓN"
57,CLASIFICACIONES DE LAS INFRACCIONES,3,51,
